component,quantity,value,units,year,doi,title
calpain-3 full-length,molecular weight,94,kDa,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 ΔNS ΔIS1 (stable form),molecular weight,85,kDa,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 NS/IS1/IS2 sequences,length,40+,residues,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 hexamer complex,molecular weight,0.5,MDa,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 dimer (expected),molecular weight,170,kDa,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 hexamer (cryo-EM),resolution,3.85,Å,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 hexamer,stoichiometry,3,dimers,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 hexamer,penta-EF-hand domains at core,6,count,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
titin N2A region,molecular weight,37,kDa,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
calpain-3 + titin N2A complex,molecular weight,320,kDa,2025,10.1016/j.jbc.2024.108133,Human calpain-3 and its structural plasticity: Dissociation of a homohexamer into dimers on binding titin.
sarcomere,length,2.1,μm,2024,10.1152/ajpcell.00530.2023,Sarcomere level mechanics of the fast skeletal muscle of the medaka fish larva.
half-thick filament,myosin motors per unit,300,count,2024,10.1152/ajpcell.00530.2023,Sarcomere level mechanics of the fast skeletal muscle of the medaka fish larva.
muscle,temperature range tested,10–30,°C,2024,10.1152/ajpcell.00530.2023,Sarcomere level mechanics of the fast skeletal muscle of the medaka fish larva.
titin,sarcomere span,half,sarcomere length,2023,10.1016/j.jsb.2023.108009,Structure determination and analysis of titin A-band fibronectin type III domains provides insights for disease-linked variants and protein oligomerisation.
titin Fn3 domains (wild-type and HCM variants),structures determined,9,domains,2023,10.1016/j.jsb.2023.108009,Structure determination and analysis of titin A-band fibronectin type III domains provides insights for disease-linked variants and protein oligomerisation.
titin Fn3 domains with HCM variants,thermal destabilization,7–13,°C,2023,10.1016/j.jsb.2023.108009,Structure determination and analysis of titin A-band fibronectin type III domains provides insights for disease-linked variants and protein oligomerisation.
A-band titin stoichiometry,myosin molecules per titin molecules,300,myosins per 12 titins,2018,10.1016/j.jsb.2018.05.001,Topology of interaction between titin and myosin thick filaments.
ionic strength condition,KCl concentration range,100-300,mM,2018,10.1016/j.jsb.2018.05.001,Topology of interaction between titin and myosin thick filaments.
insect muscle contraction frequency,operating frequency range,1–1000,hertz,2025,10.1126/sciadv.ads8716,Titin-dependent biomechanical feedback tailors sarcomeres to specialized muscle functions in insects.
titin aggregate β-sheets,interstrand spacing,8-12,Å,2020,10.31857/s0026898420040047,[Changes in Titin Structure during Its Aggregation].
EDL muscle,initial length,28.7,mm,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
EDL muscle,final length (long length),32.7,mm,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
muscle,optimum length shift (active state titin-II),29.6,mm,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
muscle,total force increase (active titin-I at 32.7 mm),14,%,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
muscle,total force increase (active titin-II at 32.7 mm),29,%,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
muscle,active force increase (active titin-I at 32.7 mm),37.5,%,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
muscle,active force increase (active titin-II at 32.7 mm),77.4,%,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
sarcomere,shortening limitation (active titin-I at 32.7 mm),10,%,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
sarcomere,shortening limitation (active titin-II at 32.7 mm),20,%,2021,10.1016/j.jbiomech.2020.110197,The effects of an activation-dependent increase in titin stiffness on whole muscle properties using finite element modeling.
connectin gene,gene length,238,kb,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
connectin gene,exon count,300,exons,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
elephant shark connectin middle-Ig segment,6-Ig super-repeats,6,repeats,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
elephant shark connectin middle-Ig segment,10-Ig super-repeats,1,repeats,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
human connectin middle-Ig segment,6-Ig super-repeats,3,repeats,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
human connectin middle-Ig segment,10-Ig super-repeats,3,repeats,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
zebrafish connectin middle-Ig segment,6-Ig super-repeats,3,repeats,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
zebrafish connectin middle-Ig segment,10-Ig super-repeats,1,repeats,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
ancestral jawed vertebrate,evolutionary timepoint,450,million years ago,2025,10.1038/s41598-025-10916-z,Cartilaginous fish and mammalian connectin evolved independently from an ancestral bony fish-like structure.
amyloid cross β-structure reflection,d-spacing,4.6,Å,2024,10.31857/s0026898424020143,[The Structural Features of Skeletal Muscle Titin Aggregates].
Common carotid artery (CCA) ultrasound M-lines,Number of M-lines,17,lines,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Common carotid artery (CCA) ultrasound coverage,Spatial extent,16,mm,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Ultrasound recording,Frame rate,500,frames per second,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Common carotid artery diameter,Reproducibility coefficient of variation (single M-line),2.5,%,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Intima-media thickness (IMT),Reproducibility coefficient of variation (single M-line),11.9,%,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Carotid artery distension,Reproducibility coefficient of variation (single M-line),10,%,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Distensibility coefficient (DC),Reproducibility coefficient of variation (single M-line),10.9,%,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Young's elastic modulus (YEM),Reproducibility coefficient of variation (single M-line),26.5,%,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
Study population,Number of subjects,500,subjects,2021,10.3389/fphys.2021.787083,Single M-Line Is as Reliable as Multiple M-Line Ultrasound for Carotid Artery Screening.
M-line,location within sarcomere,center of A-band,relative position,2018,10.1093/jnen/nly079,Acute Sarcomeric M-Line Disease Associated With ATP Synthase Subunit α Autoantibodies in Ankylosing Spondylitis.
titin,contribution to longitudinal passive stiffness,>50,%,2025,10.1007/s00395-025-01119-8,Direction-dependent contributions of cardiac myofilament networks to myocardial passive stiffness reveal a major disparity for titin.
actin,contribution to longitudinal passive stiffness in fiber bundles,15-20,%,2025,10.1007/s00395-025-01119-8,Direction-dependent contributions of cardiac myofilament networks to myocardial passive stiffness reveal a major disparity for titin.
actin,total contribution to longitudinal passive stiffness,<35,%,2025,10.1007/s00395-025-01119-8,Direction-dependent contributions of cardiac myofilament networks to myocardial passive stiffness reveal a major disparity for titin.
titin,contribution to transverse passive stiffness in cardiac slices,20-26,%,2025,10.1007/s00395-025-01119-8,Direction-dependent contributions of cardiac myofilament networks to myocardial passive stiffness reveal a major disparity for titin.
actin,contribution to transverse passive stiffness in cardiac slices,20-26,%,2025,10.1007/s00395-025-01119-8,Direction-dependent contributions of cardiac myofilament networks to myocardial passive stiffness reveal a major disparity for titin.
myosin-titin composite thick-filament network,contribution to longitudinal passive stiffness,~55,%,2025,10.1007/s00395-025-01119-8,Direction-dependent contributions of cardiac myofilament networks to myocardial passive stiffness reveal a major disparity for titin.
myosin-titin composite thick-filament network,contribution to transverse passive stiffness,~35,%,2025,10.1007/s00395-025-01119-8,Direction-dependent contributions of cardiac myofilament networks to myocardial passive stiffness reveal a major disparity for titin.
Ig domain refolding work contribution,energy recovered percentage,25.6 ± 13.4,%,2026,10.1152/ajpcell.00469.2025,Titin immunoglobulin domain refolding produces mechanical work in situ.
Ig domain refolding,force during refolding,5.6 ± 3.7,pN,2026,10.1152/ajpcell.00469.2025,Titin immunoglobulin domain refolding produces mechanical work in situ.
titin epitope shift (P-zone domains A164-A167 deletion),spatial displacement toward M-band,40,nm,2026,10.1085/jgp.202513891,Titin's P-zone domains A164-167 are essential for thick filament structural arrangement.
titin P-zone domains,number of domains studied,4,domains,2026,10.1085/jgp.202513891,Titin's P-zone domains A164-167 are essential for thick filament structural arrangement.
thick filament,length change,one myosin helical repeat,relative,2026,10.1085/jgp.202513891,Titin's P-zone domains A164-167 are essential for thick filament structural arrangement.
Light Meromyosin (LMM) paracrystals,periodicity in pure LMM,14,nm,2025,10.1002/cm.70063,Four New Muscle Myosin II Binding Properties of Titin: Implications for Myofibrillogenesis.
LMM paracrystals with titin,periodicity in LMM-titin copolymerization,42,nm,2025,10.1002/cm.70063,Four New Muscle Myosin II Binding Properties of Titin: Implications for Myofibrillogenesis.
HA-ITI photoswitch (Z isomer),absorption wavelength,470,nm,2026,10.1039/d5sc08074f,"Heteroaryl iminothioindoxyl (HA-ITI) photoswitches &lt;i&gt;via&lt;/i&gt; regioselective aza-Wittig synthesis: unifying red-shifted absorption, large &lt;i&gt;E&lt;/i&gt;/&lt;i&gt;Z&lt;/i&gt; band separation, and tunable thermal recovery."
HA-ITI photoswitch (E isomer),absorption wavelength,525–550,nm,2026,10.1039/d5sc08074f,"Heteroaryl iminothioindoxyl (HA-ITI) photoswitches &lt;i&gt;via&lt;/i&gt; regioselective aza-Wittig synthesis: unifying red-shifted absorption, large &lt;i&gt;E&lt;/i&gt;/&lt;i&gt;Z&lt;/i&gt; band separation, and tunable thermal recovery."
E → Z thermal back-isomerization,timescale,µs to ms,timescale,2026,10.1039/d5sc08074f,"Heteroaryl iminothioindoxyl (HA-ITI) photoswitches &lt;i&gt;via&lt;/i&gt; regioselective aza-Wittig synthesis: unifying red-shifted absorption, large &lt;i&gt;E&lt;/i&gt;/&lt;i&gt;Z&lt;/i&gt; band separation, and tunable thermal recovery."
Benzimidazole-containing photoswitch,E isomer kinetic stabilization timescale,µs to ms,timescale,2026,10.1039/d5sc08074f,"Heteroaryl iminothioindoxyl (HA-ITI) photoswitches &lt;i&gt;via&lt;/i&gt; regioselective aza-Wittig synthesis: unifying red-shifted absorption, large &lt;i&gt;E&lt;/i&gt;/&lt;i&gt;Z&lt;/i&gt; band separation, and tunable thermal recovery."
